,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000107785,-0.015571423937294854,0.0016900860929001578,0.0021886699590107426,-0.025287965779278446,-0.005851940258620707,Gm45083
ENSMUSG00000024055,-0.015572248436316286,0.0016891270621292808,0.002187543392203719,-0.025288789950877907,-0.005852764929370904,Cyp4f13
ENSMUSG00000022812,-0.015579087637229042,0.0016811911995616026,0.002177495586180442,-0.025295626435323532,-0.005859605555279569,Gsk3b
ENSMUSG00000068600,-0.015580498561296644,0.0016795583082890463,0.0021754954146722587,-0.025297036798872102,-0.005861016773436378,Gml2
ENSMUSG00000110559,-0.015584006047103208,0.0016755053427263682,0.0021704747097883075,-0.025300542891089132,-0.0058645249905015595,RP23-194O23.4
ENSMUSG00000043421,-0.01558451646126652,0.0016749163000707207,0.0021698261396863833,-0.025301053102435453,-0.005865035511098575,Hilpda
ENSMUSG00000000682,-0.015585419282363113,0.0016738748672858528,0.0021685914063427924,-0.025301955564776747,-0.005865938520467618,Cd52
ENSMUSG00000100642,-0.015589413479143346,0.0016692745782402024,0.002162745617147939,-0.02530594817418733,-0.0058699335503796055,Gm28230
ENSMUSG00000043164,-0.015591987762487833,0.001666315831758218,0.002159220370126301,-0.025308521434298452,-0.005872508370846835,Tmem212
ENSMUSG00000021250,-0.015594645686752822,0.0016632660158279265,0.00215552954450289,-0.02531117830194915,-0.005875166849821429,Fos
ENSMUSG00000056592,-0.015596591612909206,0.00166103643412999,0.00215275372311864,-0.0253131234544474,-0.005877113182180304,Zfp658
ENSMUSG00000038495,-0.015603009623389012,0.0016537023529671555,0.0021434748268424455,-0.025319538912743612,-0.005883532532910143,Otud7b
ENSMUSG00000039967,-0.015604494468160887,0.0016520098192813431,0.002141394070165014,-0.025321023166938687,-0.005885017687870913,Zfp292
ENSMUSG00000026611,-0.0156045945614195,0.0016518957830930691,0.0021413593065734444,-0.02532112322038503,-0.005885117802040875,Spata17
ENSMUSG00000032185,-0.015604798415228245,0.0016516635549699054,0.0021411713185290203,-0.025321326993109954,-0.005885321698439086,Carm1
ENSMUSG00000072663,-0.015605471520702114,0.0016508969735916613,0.002140290553153578,-0.02532199983084719,-0.005885994944544978,Spef2
ENSMUSG00000050901,-0.01560955480536391,0.0016462536448461167,0.0021344961706940145,-0.02532608149113967,-0.005890079082516874,Mtnr1b
