,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000032715,0.01504525340949468,0.002415113925266055,0.0027696260610849256,0.005325662834987722,0.024762001508464134,Trib3
ENSMUSG00000032356,0.015020616637419845,0.0024551882604482195,0.002814614536797225,0.00530102118970435,0.024737374262081252,Rasgrf1
ENSMUSG00000006356,0.01499726748361282,0.002493728816941935,0.0028581419105351688,0.005277667428277301,0.02471403412522943,Crip2
ENSMUSG00000029442,0.01499576664971335,0.0024962249528638807,0.002860674940251983,0.005276166298572477,0.02471253387055831,Wdr66
ENSMUSG00000041180,0.014987723243655628,0.0025096414648861903,0.0028753912292463226,0.005268121307954168,0.024704493568008225,Hectd2
ENSMUSG00000006998,0.014974164126193757,0.002532407659883368,0.002901142925745639,0.005254559522178165,0.024690939679417708,Psmd2
ENSMUSG00000023953,0.014970956672967939,0.002537820630136842,0.0029070110310845843,0.005251351438276902,0.024687733462575905,Polh
ENSMUSG00000024867,0.014928542664593447,0.002610401514714204,0.0029887812167554433,0.00520892910893163,0.02464533578482326,Pip5k1b
ENSMUSG00000030619,0.014911728504505053,0.0026396962729222325,0.003021976271233237,0.005192111659849289,0.02462852808899845,Eed
ENSMUSG00000068966,0.014900422956156886,0.0026595621785789553,0.0030440221799003723,0.005180803903130127,0.024617226884019957,Zbtb34
ENSMUSG00000025001,0.01489872143908752,0.002662563855527202,0.003047109012963152,0.005179102053909868,0.02461552602042502,Hells
ENSMUSG00000026177,0.014898114031083296,0.002663636144639185,0.0030479873493983118,0.0051784945273479705,0.024614918845684643,Slc11a1
ENSMUSG00000032507,0.014895614218596958,0.0026680533500965525,0.0030526926202477716,0.005175994227008203,0.024612419993129745,Fbxl2
ENSMUSG00000002881,0.014869968380811956,0.002713758110866604,0.003104276036223523,0.0051503433913025615,0.024586783996369155,Nab1
ENSMUSG00000033082,0.014842244827200419,0.0027639694024416,0.0031606282475032587,0.005122614449247311,0.024559071066685065,Clec1a
ENSMUSG00000028871,0.014839904266736816,0.0027682470963894304,0.0031651578966263782,0.00512027343454868,0.024556731402462697,Rspo1
ENSMUSG00000020256,0.014820278140185264,0.00280435516631521,0.0032060765591805304,0.0051006435033261865,0.024537112786907254,Aldh1l2
ENSMUSG00000061013,0.014813593408517501,0.0028167515657426703,0.00321951259085915,0.005093957477483564,0.024530430611803967,Mkx
ENSMUSG00000046500,0.014787444382486392,0.0028657254126837274,0.0032747405012955406,0.005067803397307172,0.024504291578082996,Fam19a4
ENSMUSG00000041482,0.014779929595020213,0.002879942765829198,0.0032902350803486785,0.005060287159825042,0.024496779659779883,Piezo2
ENSMUSG00000022469,0.014720560771723618,0.0029945472623537136,0.00341882322451617,0.005000906919626697,0.0244374334650586,Rapgef3
