,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000027353,-0.05309631620084554,8.58108474523493e-27,1.7817866995919707e-26,-0.06278428166884681,-0.043398345344639835,Mcm8
ENSMUSG00000031906,-0.053112961164115666,8.274519981064662e-27,1.718488054219037e-26,-0.06280090789017631,-0.04341500593104121,Smpd3
ENSMUSG00000005483,-0.053126792621821364,8.02805373892095e-27,1.6676472245369653e-26,-0.06281472376980925,-0.04342885037519674,Dnajb1
ENSMUSG00000030889,-0.05312814130018372,8.004414344408774e-27,1.6630821409534123e-26,-0.06281607092898553,-0.0434302003200417,Vwa3a
ENSMUSG00000038668,-0.053128522478627725,7.997745634735737e-27,1.6620419024804108e-26,-0.06281645167805391,-0.04343058185643948,Lpar1
ENSMUSG00000008658,-0.053132603161210434,7.926698400593926e-27,1.6476197049665197e-26,-0.06282052776380542,-0.04343466637125182,Rbfox1
ENSMUSG00000029446,-0.05313359687516974,7.909492181363911e-27,1.6443850688906262e-26,-0.0628215203583111,-0.04343566101847175,Psph
ENSMUSG00000025911,-0.05313601157300257,7.867835703302285e-27,1.6360648166567447e-26,-0.06282393233582219,-0.04343807798418259,Adhfe1
ENSMUSG00000046338,-0.05315299835266997,7.580877088510532e-27,1.57672152423264e-26,-0.06284089997552596,-0.043455080720998,Gpat2
ENSMUSG00000039405,-0.05315948856635091,7.473998727616684e-27,1.5548156287948167e-26,-0.06284738287483808,-0.04346157703297998,Prss23
ENSMUSG00000022519,-0.05316502675619315,7.383980210155567e-27,1.5364086995746082e-26,-0.06285291482258094,-0.043467120427236015,Srl
ENSMUSG00000040258,-0.05316685682216146,7.35447101079192e-27,1.5305870990201708e-26,-0.0628547428257492,-0.04346895221310701,Nxph4
