,Mixed_2_corr,Mixed_2_pval,Mixed_2_qval,Mixed_2_ci_low,Mixed_2_ci_high,gene_annotation
ENSMUSG00000054814,-0.06395694739960009,3.7939833828922444e-38,5.004594885756818e-38,-0.07363154119172263,-0.05427031702180464,Usp46
ENSMUSG00000032034,-0.06426632234953765,1.678399170672779e-38,2.2154160119756848e-38,-0.07394050170874689,-0.054580048662545996,Kcnj5
ENSMUSG00000030554,-0.06450522315664182,8.91684647249875e-39,1.1774523270168692e-38,-0.0741790812180793,-0.05481922618346044,Synm
ENSMUSG00000040181,-0.06453773912994926,8.179866631907742e-39,1.0807063855076948e-38,-0.07421155337502697,-0.0548517799052792,Fmo1
ENSMUSG00000046806,-0.06459211269458869,7.080347287441603e-39,9.355638593342499e-39,-0.0742658536236393,-0.05490621663939634,3110062M04Rik
ENSMUSG00000002109,-0.06460158094395042,6.904503548249689e-39,9.124492597131874e-39,-0.07427530910037372,-0.05491569589455519,Ddb2
ENSMUSG00000063354,-0.06470459959885919,5.2503928769341386e-39,6.940373928531578e-39,-0.0743781886711445,-0.055018834410148425,Slc39a4
ENSMUSG00000027583,-0.06481044679890019,3.960847131591092e-39,5.238522856224166e-39,-0.07448389275379436,-0.05512480497712669,Zbtb46
ENSMUSG00000020057,-0.06490701566007402,3.061536911686801e-39,4.050187738704592e-39,-0.07458033085331267,-0.05522148658150275,Dram1
ENSMUSG00000032083,-0.06494612459990665,2.758005502834009e-39,3.6491208029028965e-39,-0.07461938678516075,-0.05526064123231185,Apoa1
ENSMUSG00000026893,-0.06502573938591916,2.2294737624662063e-39,2.9509910820201276e-39,-0.07469889357015103,-0.05534034916504153,Gca
ENSMUSG00000039232,-0.0650781190696529,1.9380016359862972e-39,2.5658700330812886e-39,-0.07475120213142694,-0.0553927901986324,Stx11
ENSMUSG00000039783,-0.06511265600358214,1.7668781691385042e-39,2.3399260616322398e-39,-0.07478569214111391,-0.05542736761327769,Kmo
ENSMUSG00000060985,-0.06515038185673025,1.5970840073461876e-39,2.115623271090459e-39,-0.07482336671088916,-0.055465137711419144,Tdrd5
ENSMUSG00000026134,-0.06543059823511553,7.526848736029426e-40,9.97991081414668e-40,-0.07510320130739948,-0.055745683595991254,Prim2
ENSMUSG00000000159,-0.06557390136919855,5.1166858395332255e-40,6.7887565868823475e-40,-0.07524630860881369,-0.05588915583111641,Igsf5
ENSMUSG00000022780,-0.06567217974353584,3.924809432115694e-40,5.208771641825739e-40,-0.07534445244930311,-0.05598755040743195,Mfi2
ENSMUSG00000030492,-0.06581779058731392,2.647666752189576e-40,3.5175591234084972e-40,-0.07548986362103027,-0.05613333376378602,Slc7a9
ENSMUSG00000062082,-0.06603129872886766,1.4842526937416994e-40,1.974002784601276e-40,-0.07570307824107184,-0.056347095605969254,Cd200r4
ENSMUSG00000031787,-0.06605614147212399,1.3874216596897974e-40,1.8454664268286744e-40,-0.07572788677418675,-0.056371967926228964,Katnb1
ENSMUSG00000079165,-0.06610179207085529,1.2255744145775077e-40,1.6308375443479812e-40,-0.0757734744777316,-0.05641767290649231,Sap25
ENSMUSG00000050199,-0.06639649791638287,5.491405300283629e-41,7.312124234731863e-41,-0.07606777331877175,-0.056712730798806885,Lgr4
ENSMUSG00000039131,-0.06652138056592734,3.903650307499502e-41,5.20001373051752e-41,-0.07619248299040934,-0.05683776313970783,Gipc2
ENSMUSG00000035674,-0.06666188071384253,2.6569902601313206e-41,3.541237185300974e-41,-0.07633278816655142,-0.05697843206209659,Ndufa3
ENSMUSG00000062526,-0.06669647411373242,2.4165612064781895e-41,3.221222615940002e-41,-0.0763673335024925,-0.05701306707596687,Mppe1
ENSMUSG00000020429,-0.0667782771616399,1.9306588192575988e-41,2.5738685765332606e-41,-0.07644902280116654,-0.05709496862122099,Igfbp1
ENSMUSG00000015944,-0.06680918047340974,1.7735525401569981e-41,2.365052060484062e-41,-0.07647988310730276,-0.057125909176943865,Gatsl2
ENSMUSG00000040972,-0.06699051981515625,1.076957031017647e-41,1.4370923819290726e-41,-0.07666096972043555,-0.05730746743946207,Igsf21
ENSMUSG00000029195,-0.0673166417409291,4.3762441639966274e-42,5.845904573866721e-42,-0.07698663553194968,-0.05763398468552598,Klb
ENSMUSG00000049516,-0.06733451736784318,4.164946993353852e-42,5.5643914406865086e-42,-0.07700448609835506,-0.057651882040900854,Spty2d1
ENSMUSG00000043262,-0.06766089419039839,1.6834417308729994e-42,2.2526986897805426e-42,-0.07733040427116447,-0.05797865668029041,Uevld
ENSMUSG00000044626,-0.06766545157848378,1.6622301989049275e-42,2.2246121505686932e-42,-0.07733495524022856,-0.05798321963800978,Liph
ENSMUSG00000020838,-0.06782711285988537,1.059515611154155e-42,1.418550824948661e-42,-0.07749638856317945,-0.058145078749126056,Slc6a4
ENSMUSG00000024130,-0.06783055182499088,1.0494015309738463e-42,1.4051975508487496e-42,-0.0774998226734953,-0.05814852192812474,Abca3
ENSMUSG00000037110,-0.06783929991941937,1.0241039713041867e-42,1.3715065907381635e-42,-0.07750855841719805,-0.05815728074296036,Ralgapa2
ENSMUSG00000042116,-0.0678870252461432,8.964052209103083e-43,1.2008107446889595e-42,-0.07755621633825567,-0.058205064581232764,Vwa1
ENSMUSG00000040600,-0.0678953283871178,8.758654677113158e-43,1.1734531989701445e-42,-0.07756450774763708,-0.05821337790644061,Eps8l3
ENSMUSG00000066151,-0.06792705908483415,8.015946389400714e-43,1.0743796259751661e-42,-0.07759619360040243,-0.058245147535875307,Fkbp15
ENSMUSG00000026357,-0.0680620259245583,5.4962614644801175e-43,7.37258412405113e-43,-0.07773096947343784,-0.058380280191160754,Rgs18
ENSMUSG00000024030,-0.0681481464476898,4.3183980006043965e-43,5.794174158868102e-43,-0.0778169679586034,-0.05846650670439684,Abcg1
ENSMUSG00000008318,-0.06822681427079327,3.4635889782440625e-43,4.648488764251862e-43,-0.07789552417891711,-0.05854527147167973,Relt
ENSMUSG00000032849,-0.06823688150646626,3.3671243941710856e-43,4.519630059290048e-43,-0.07790557712395357,-0.05855535112214012,Abcc4
ENSMUSG00000030556,-0.06842580486326763,1.9802258148303864e-43,2.659449120105273e-43,-0.07809423193571526,-0.05874450782295134,Lrrc28
ENSMUSG00000050312,-0.0685074656760709,1.5734962975338224e-43,2.1149143784056753e-43,-0.07817577645745019,-0.05882626971227817,Nsun3
ENSMUSG00000063796,-0.06883354463139134,6.265700971892225e-44,8.430706366916343e-44,-0.0785013897624247,-0.05915275357007094,Slc22a8
ENSMUSG00000086353,-0.06893085923197048,4.75615868837462e-44,6.401290293909314e-44,-0.0785985649952273,-0.059250189410512175,Gm13481
ENSMUSG00000025194,-0.06895054251205611,4.498026122546002e-44,6.054685856166377e-44,-0.07861822006383407,-0.059269897235534726,Abcc2
ENSMUSG00000061119,-0.06924004855155345,1.9759508246723682e-44,2.661213231881977e-44,-0.07890731029439703,-0.059559765159159395,Prcp
ENSMUSG00000025017,-0.06937524142604032,1.3441141000325934e-44,1.8112304272100707e-44,-0.0790423084384395,-0.059695127584658274,Pik3ap1
ENSMUSG00000075511,-0.06951031379913221,9.139414248031382e-45,1.2320590790012648e-44,-0.0791771859005607,-0.05983036971316729,1700001L05Rik
ENSMUSG00000033187,-0.0697517070219779,4.578536744245149e-45,6.177194743989677e-45,-0.07941822990876188,-0.06007206719774743,BC016579
ENSMUSG00000067235,-0.06981822948165119,3.7828337343193624e-45,5.1071064321849095e-45,-0.07948465593417149,-0.06013867370449818,H2-Q10
ENSMUSG00000022952,-0.0699782354370383,2.3882021135606273e-45,3.225121017637579e-45,-0.07964442958539981,-0.060298882170676416,Runx1
ENSMUSG00000049493,-0.07027592496465537,1.0121024367554996e-45,1.3682606958976607e-45,-0.07994168559179742,-0.06059694979464988,Pls1
ENSMUSG00000000385,-0.07040165803012072,7.03510784166136e-46,9.513330414687438e-46,-0.08006723503751752,-0.06072284307256374,Tmprss2
ENSMUSG00000029408,-0.07041200946656624,6.827379051543399e-46,9.233674670737625e-46,-0.08007757134312961,-0.06073320771280719,Abcb9
ENSMUSG00000022148,-0.0705107900479752,5.127936122754327e-46,6.939020463808291e-46,-0.0801762074310765,-0.060832114399000325,Fyb
ENSMUSG00000029708,-0.0705698860877499,4.320052093848288e-46,5.846599125522111e-46,-0.08023521693632764,-0.06089128597254119,Gcc1
ENSMUSG00000020806,-0.0707277380441011,2.730915686415709e-46,3.697421725447751e-46,-0.08039283741738021,-0.06104934002134086,Rhbdf2
ENSMUSG00000036918,-0.07072781300551674,2.7303203003785167e-46,3.6971161819614304e-46,-0.08039291226875706,-0.061049415078842345,Ttc7
ENSMUSG00000033124,-0.07076945002261463,2.4188040223656766e-46,3.27573675835005e-46,-0.08043448814839388,-0.061091105483344316,Atg9a
ENSMUSG00000003546,-0.07081477601068507,2.1197810892495716e-46,2.8715539003651744e-46,-0.08047974754409311,-0.06113648962724488,Klc4
ENSMUSG00000047040,-0.07084042702303724,1.967169765832002e-46,2.6651805525430184e-46,-0.0805053608526417,-0.06116217356904231,Prr15l
ENSMUSG00000021998,-0.07092921010250701,1.5185809251891256e-46,2.0579765892249976e-46,-0.08059401333346312,-0.06125107072259764,Lcp1
ENSMUSG00000048406,-0.07106509799335944,1.021229213377165e-46,1.3849053612383578e-46,-0.08072970103903655,-0.0613871335081107,B330016D10Rik
ENSMUSG00000038807,-0.07109417215237285,9.380204286529407e-47,1.272409697033289e-46,-0.08075873232049836,-0.06141624513376518,Rap1gap2
ENSMUSG00000037887,-0.07133444609480133,4.640807601331266e-47,6.299453782178995e-47,-0.0809986512876171,-0.06165682933740186,Dusp8
ENSMUSG00000042632,-0.07133985108617115,4.567796270233421e-47,6.201189614761635e-47,-0.08100404828089483,-0.06166224132106829,Pla2g6
ENSMUSG00000023959,-0.07141819074842289,3.629363071704226e-47,4.928521281510355e-47,-0.08108227195558583,-0.061740682393199076,Clic5
ENSMUSG00000040751,-0.07145118096654748,3.294107708259894e-47,4.474473931350033e-47,-0.08111521329367266,-0.061773715352590346,Lat2
ENSMUSG00000023267,-0.07155669755882227,2.4153318756186416e-47,3.28259292690764e-47,-0.08122057340527732,-0.0618793687917557,Gabrr2
ENSMUSG00000027690,-0.0715691844954662,2.3281762270426907e-47,3.164572824578892e-47,-0.08123304180955403,-0.06189187193734594,Slc2a2
ENSMUSG00000051378,-0.07169719010050282,1.5967470943504116e-47,2.1724450263270907e-47,-0.08136085726187146,-0.06202004387806852,Kif18b
ENSMUSG00000036892,-0.07177954541314828,1.2523027451286197e-47,1.7047410088873122e-47,-0.08144309006741562,-0.062102506375290085,Prodh2
